2020-10-09/16:23:29		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-09/16:23:30		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-09/16:23:31		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-09/16:23:32		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-09/16:23:34		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-09/16:23:35		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-09/16:23:37		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-09/16:23:38		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-09/16:23:38		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-10-09/16:50:34		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-09/16:50:35		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-09/16:50:35		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-09/16:50:37		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-09/16:50:38		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-09/16:50:39		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-09/16:50:42		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-09/16:50:45		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-09/16:50:46		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-10-15/11:11:38		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-15/11:11:39		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-15/11:11:39		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-15/11:11:41		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-15/11:11:42		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-15/11:11:42		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-15/11:11:43		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-15/11:11:43		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-15/11:11:44		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-08/23:27:32		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-08/23:27:32		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-08/23:27:33		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-08/23:27:33		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-08/23:27:34		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-08/23:27:34		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-08/23:27:35		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-08/23:27:36		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-08/23:27:37		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-09/08:45:50		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-09/08:45:51		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-09/08:45:51		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-09/08:45:52		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-09/08:45:52		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-09/08:45:53		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-09/08:45:54		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-09/08:45:55		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-09/08:45:55		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-09/09:33:34		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-09/09:33:35		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-09/09:33:35		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-09/09:33:36		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-09/09:33:36		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-09/09:33:37		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-09/09:33:38		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-09/09:33:38		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-09/09:33:39		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-09/10:29:54		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-09/10:29:54		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-09/10:29:55		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-09/10:29:55		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-09/10:29:56		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-09/10:29:57		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-09/10:29:58		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-09/10:29:59		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-09/10:29:59		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-09/11:29:29		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-09/11:29:29		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-09/11:29:30		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-09/11:29:30		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-09/11:29:31		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-09/11:29:31		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-09/11:29:32		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-09/11:29:33		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-09/11:29:33		 wafer_29012020_050617.csv: File Transformed successfully!!
